Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora
ACCIONA,"157,0000","-1,32","160,0000","155,5000",156.481,"24.643,85",05/11/2021,Cierre
ACERINOX,"11,2200","-1,41","11,4800","11,2150",1.257.935,"14.186,92",05/11/2021,Cierre
ACS,"23,3100","4,72","23,3500","22,1500",1.094.273,"25.018,26",05/11/2021,Cierre
AENA,"151,2500","3,60","151,2500","145,2000",154.575,"23.149,07",05/11/2021,Cierre
ALMIRALL,"12,3900","-2,21","12,9200","12,3700",257.697,"3.230,07",05/11/2021,Cierre
AMADEUS,"61,9400","4,70","62,3800","57,2600",1.293.132,"78.823,86",05/11/2021,Cierre
ARCELORMIT.,"27,9500","-1,64","28,4200","27,5950",639.523,"17.840,15",05/11/2021,Cierre
B.SANTANDER,"3,2840","1,44","3,3190","3,2150",84.768.632,"276.936,14",05/11/2021,Cierre
BA.SABADELL,"0,6734","0,57","0,6800","0,6658",18.160.742,"12.228,20",05/11/2021,Cierre
BANKINTER,"4,9670","1,82","5,0040","4,8760",4.509.490,"22.243,97",05/11/2021,Cierre
BBVA,"6,0260","-0,23","6,1070","5,9970",17.161.028,"103.630,44",05/11/2021,Cierre
CAIXABANK,"2,5060","1,58","2,5270","2,4600",10.448.148,"26.144,08",05/11/2021,Cierre
CELLNEX,"52,7200","-1,13","53,6400","52,7200",655.933,"34.796,94",05/11/2021,Cierre
CIE AUTOMOT.,"24,6200","0,90","24,6200","24,2000",190.515,"4.658,02",05/11/2021,Cierre
ENAGAS,"20,0900","0,85","20,1800","19,9000",880.141,"17.661,41",05/11/2021,Cierre
ENDESA,"20,0000","1,19","20,2000","19,8850",1.218.005,"24.383,22",05/11/2021,Cierre
FERROVIAL,"27,4000","1,33","27,5900","26,8900",2.131.224,"58.250,67",05/11/2021,Cierre
FLUIDRA,"33,1000","-0,60","33,5500","32,9000",657.551,"21.792,71",05/11/2021,Cierre
GRIFOLS CL.A,"18,5000","-1,86","18,8500","18,1600",1.845.287,"34.081,16",05/11/2021,Cierre
IAG,"2,0950","6,13","2,1000","1,9030",40.721.539,"82.653,89",05/11/2021,Cierre
IBERDROLA,"10,2750","0,69","10,3300","10,1650",10.477.490,"107.495,96",05/11/2021,Cierre
INDITEX,"32,2700","0,25","32,3400","31,7600",12.203.418,"390.737,25",05/11/2021,Cierre
INDRA A,"10,7800","0,84","10,9000","10,6400",1.009.845,"10.923,33",05/11/2021,Cierre
INM.COLONIAL,"8,6750","2,18","8,7000","8,3450",646.750,"5.563,13",05/11/2021,Cierre
MAPFRE,"1,9430","1,52","1,9525","1,8950",2.830.986,"5.476,15",05/11/2021,Cierre
MELIA HOTELS,"6,9060","8,18","6,9100","6,2500",2.154.788,"14.434,28",05/11/2021,Cierre
MERLIN,"9,8100","3,57","9,8100","9,4420",921.289,"8.952,57",05/11/2021,Cierre
NATURGY,"23,3800","0,09","23,5600","23,1900",388.608,"9.090,06",05/11/2021,Cierre
PHARMA MAR,"60,7000","-1,36","62,7400","60,5000",98.392,"6.037,23",05/11/2021,Cierre
R.E.C.,"18,1750","-0,30","18,2650","18,1000",917.104,"16.672,36",05/11/2021,Cierre
REPSOL,"10,8120","0,86","10,8780","10,5840",9.052.619,"97.207,97",05/11/2021,Cierre
SIEMENS GAME,"18,7850","-3,07","19,3950","18,3400",2.701.775,"50.892,09",05/11/2021,Cierre
SOLARIA,"15,6900","-2,09","16,1750","15,6700",371.092,"5.866,15",05/11/2021,Cierre
TELEFONICA,"3,7660","2,78","3,8030","3,6480",21.734.532,"81.706,53",05/11/2021,Cierre
VISCOFAN,"59,6000","-0,17","59,9500","59,1500",50.782,"3.025,01",05/11/2021,Cierre
